projectDescriptionID,envDataRawID,trapVisitID,discharge,dischargeUnitID,dischargeSampleGearID,waterVel,waterVelUnitID,waterVelSampleGearID,waterTemp,waterTempUnitID,waterTempSampleGearID,lightPenetration,lightPenetrationUnitID,lightPenetrationSampleGearID,turbidity,turbidityUnitID,turbiditySampleGearID,visitTime,visitTime2,visitTypeID,siteID,trapPositionID
9,1,2,4410,12,20,2.0999999,8,15,67,19,16,3.8,6,25,6.73,20,15,(10/02/14 13:15:03),(10/02/14 14:30:03),2,63000,63004
9,2,3,4430,12,20,1.8,8,15,67,19,16,4.1999998,6,25,7.9099998,20,15,(10/03/14 11:00:03),(10/03/14 11:00:03),4,63000,63004
9,33,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(10/06/14 14:45:03),(10/06/14 14:45:03),1,63000,63003
9,3,5,4180,12,20,1.5,8,15,69,19,16,5.3000002,6,25,3.79,20,15,(10/07/14 11:30:03),(10/07/14 12:00:03),2,63000,63003
9,335,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(10/06/14 14:45:03),(10/06/14 14:45:03),1,63000,63004
9,4,7,4180,12,20,1.7,8,15,69,19,16,5.3000002,6,25,3.79,20,15,(10/07/14 11:30:03),(10/07/14 12:00:03),2,63000,63004
9,5,8,4100,12,20,1.4,8,15,69,19,16,7.6999998,6,25,2.47,20,15,(10/08/14 11:30:03),(10/08/14 12:30:03),2,63000,63003
9,7,9,4100,12,20,1.7,8,15,69,19,16,7.6999998,6,25,2.47,20,15,(10/08/14 11:30:03),(10/08/14 12:30:03),2,63000,63004
9,34,10,3930,12,20,1.7,8,15,69,19,16,5.9000001,6,25,3.4300001,20,15,(10/09/14 11:00:03),(10/09/14 11:45:03),2,63000,63003
9,9,11,3930,12,20,1.9,8,15,69,19,16,5.9000001,6,25,3.4300001,20,15,(10/09/14 11:00:03),(10/09/14 11:45:03),2,63000,63004
9,10,12,3840,12,20,1.7,8,15,68,19,16,6.9000001,6,25,2.49,20,15,(10/10/14 11:00:03),(10/10/14 11:30:03),2,63000,63003
9,11,13,3840,12,20,1.9,8,15,68,19,16,6.9000001,6,25,2.49,20,15,(10/10/14 11:00:03),(10/10/14 11:30:03),2,63000,63004
9,12,14,3810,12,20,1.8,8,15,69,19,16,5.0999999,6,25,3.1600001,20,15,(10/11/14 09:00:03),(10/11/14 10:30:03),3,63000,63003
9,14,16,3620,12,20,1.6,8,15,68,19,16,4.1999998,6,25,2.6300001,20,15,(10/12/14 10:00:03),(10/12/14 10:30:03),2,63000,63003
9,16,18,3520,12,20,1.2,8,15,68,19,16,NA,NA,NA,1.9,20,15,(10/13/14 12:00:03),(10/13/14 12:00:03),2,63000,63003
9,17,19,3810,12,20,1.8,8,15,69,19,16,5.0999999,6,25,3.1600001,20,15,(10/11/14 09:00:03),(10/11/14 10:30:03),2,63000,63004
9,18,20,3620,12,20,1.9,8,15,68,19,16,4.1999998,6,25,2.6300001,20,15,(10/12/14 10:00:03),(10/12/14 10:30:03),2,63000,63004
