projectDescriptionID,releaseID,sourceOfFishSiteID,releaseSiteID,releaseSubSiteID,nReleased,releaseTime,testDays,appliedMarkPositionID,releasePurpose,commonName,markedRun,markedLifeStage,markedFishOrigin,releaseLightCondition,includeTest,appliedMarkType,appliedMarkColor
9,0,255,252,NA,NA,NA,0,NA,Not applicable (n/a),NA,Not recorded,NA,Not recorded,NA,No,NA,NA
9,1,63000,62000,62000,2870,2015-02-10T09:00:17Z,4,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Unknown,NA,Yes,Pigment / dye,Brown
9,255,255,252,NA,NA,NA,0,NA,Not applicable (n/a),NA,Not recorded,NA,Not recorded,NA,No,NA,NA
9,256,63000,62000,62000,1278,2015-02-14T09:00:17Z,10,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Unknown,NA,Yes,Pigment / dye,Brown
9,258,255,62000,NA,570,2015-03-24T08:10:16Z,7,13,Trap capture efficiency test,Chinook salmon,Fall,NA,Hatchery,NA,Yes,Elastomer,Orange
9,259,255,62000,NA,513,2015-03-31T13:00:17Z,10,13,Trap capture efficiency test,Chinook salmon,Fall,NA,Hatchery,NA,Yes,Elastomer,Red
9,260,63000,62000,62000,136,2014-02-19T10:30:17Z,6,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Unknown,NA,Yes,Pigment / dye,Brown
9,261,63000,62000,NA,149,2014-02-25T11:00:17Z,6,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Unknown,NA,Yes,Pigment / dye,Brown
9,262,63000,62000,NA,488,2014-03-05T15:30:17Z,5,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Unknown,NA,Yes,Pigment / dye,Brown
9,263,63000,62000,NA,590,2014-03-11T07:45:17Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Unknown,NA,Yes,Pigment / dye,Brown
9,264,63000,62000,62000,81,2014-03-19T08:30:17Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Unknown,NA,Yes,Pigment / dye,Brown
9,265,63000,62000,NA,284,2012-04-16T13:15:17Z,10,21,Trap capture efficiency test,Chinook salmon,Other,NA,Unknown,NA,Yes,Pigment / dye,Brown
9,266,63000,62000,NA,1944,2012-03-30T14:45:17Z,10,21,Trap capture efficiency test,Chinook salmon,Other,NA,Unknown,NA,Yes,Pigment / dye,Brown
9,267,63000,62000,NA,696,2012-03-19T16:00:17Z,10,21,Trap capture efficiency test,Chinook salmon,Other,NA,Unknown,NA,Yes,Pigment / dye,Brown
9,268,63000,62000,NA,196,2012-02-04T00:30:17Z,10,21,Trap capture efficiency test,Chinook salmon,Other,NA,Unknown,NA,Yes,Pigment / dye,Brown
9,269,63000,62000,NA,2291,2012-01-28T14:00:17Z,6,21,Trap capture efficiency test,Chinook salmon,Other,NA,Unknown,NA,Yes,Pigment / dye,Brown
9,270,63000,62000,NA,3202,2016-01-10T09:45:17Z,12,21,Trap capture efficiency test,Chinook salmon,Other,NA,Natural,NA,Yes,Pigment / dye,Brown
9,271,63000,62000,NA,2864,2016-01-23T09:18:17Z,8,21,Trap capture efficiency test,Chinook salmon,Other,NA,Natural,NA,Yes,Pigment / dye,Brown
9,272,63000,62000,NA,419,2016-04-16T12:00:17Z,8,21,Trap capture efficiency test,Chinook salmon,Other,NA,Natural,NA,Yes,Pigment / dye,Brown
9,273,255,62000,NA,632,2016-02-10T10:20:17Z,62,13,Trap capture efficiency test,Chinook salmon,Fall,NA,Hatchery,NA,Yes,Elastomer,Pink
9,274,255,62000,NA,479,2016-02-17T10:00:17Z,136,13,Trap capture efficiency test,Chinook salmon,Fall,NA,Hatchery,NA,Yes,Elastomer,Blue
9,275,255,62000,NA,489,2016-02-24T11:15:17Z,28,13,Trap capture efficiency test,Chinook salmon,Fall,NA,Hatchery,NA,Yes,Elastomer,Orange
9,276,255,62000,NA,490,2016-03-16T11:15:17Z,13,13,Trap capture efficiency test,Chinook salmon,Fall,NA,Hatchery,NA,Yes,Elastomer,Purple / Violet
